Title,Name,OrderIndex,DataType,Address,Length
IO_21,TR_REQ_FromSTK,9,Bit,D9679.9,1
IO_21,BUSY_FromSTK,10,Bit,D9679.A,1
IO_21,COMPLETE_FromSTK,11,Bit,D9679.B,1
IO_21,CRANE_1_FromSTK,12,Bit,D9679.C,1
IO_21,CRANE_2_FromSTK,13,Bit,D9679.D,1
IO_21,A.Error_FromSTK,14,Bit,D9679.E,1
IO_21,ForkNumber_FromSTK,15,Bit,D9679.F,1
IO_22,L_REQ,0,Bit,D9839.0,1
IO_22,U_REQ,1,Bit,D9839.1,1
IO_22,Ready,2,Bit,D9839.2,1
IO_22,CARRIER,3,Bit,D9839.3,1
IO_22,P.Error,4,Bit,D9839.4,1
IO_22,Spare,5,Bit,D9839.5,1
IO_22,P.Online,6,Bit,D9839.6,1
IO_22,P.E-STOP,7,Bit,D9839.7,1
IO_22,Transferring_FromSTK,8,Bit,D9839.8,1
IO_22,TR_REQ_FromSTK,9,Bit,D9839.9,1
IO_22,BUSY_FromSTK,10,Bit,D9839.A,1
IO_22,COMPLETE_FromSTK,11,Bit,D9839.B,1
IO_22,CRANE_1_FromSTK,12,Bit,D9839.C,1
IO_22,CRANE_2_FromSTK,13,Bit,D9839.D,1
IO_22,A.Error_FromSTK,14,Bit,D9839.E,1
IO_22,ForkNumber_FromSTK,15,Bit,D9839.F,1
IO_23,L_REQ,0,Bit,D9999.0,1
IO_23,U_REQ,1,Bit,D9999.1,1
IO_23,Ready,2,Bit,D9999.2,1
IO_23,CARRIER,3,Bit,D9999.3,1
IO_23,P.Error,4,Bit,D9999.4,1
IO_23,Spare,5,Bit,D9999.5,1
IO_23,P.Online,6,Bit,D9999.6,1
IO_23,P.E-STOP,7,Bit,D9999.7,1
IO_23,Transferring_FromSTK,8,Bit,D9999.8,1
IO_23,TR_REQ_FromSTK,9,Bit,D9999.9,1
IO_23,BUSY_FromSTK,10,Bit,D9999.A,1
IO_23,COMPLETE_FromSTK,11,Bit,D9999.B,1
IO_23,CRANE_1_FromSTK,12,Bit,D9999.C,1
IO_23,CRANE_2_FromSTK,13,Bit,D9999.D,1
IO_23,A.Error_FromSTK,14,Bit,D9999.E,1
IO_23,ForkNumber_FromSTK,15,Bit,D9999.F,1
IO_24,L_REQ,0,Bit,D10159.0,1
IO_24,U_REQ,1,Bit,D10159.1,1
